gene_id,responder_mean,non_responder_mean,abs_mean_diff,direction
SNORD33,1.383087504638728,7.940357433401111,6.557269928762383,higher_in_non_responder
MIR4461,6.162834334998788,11.139638060640385,4.976803725641597,higher_in_non_responder
MIR4442,0.0,4.586373395585878,4.586373395585878,higher_in_non_responder
CDH1,5.32106499985697,1.8487934779892157,3.4722715218677545,higher_in_responder
MIR1234,4.879895199370804,8.031056310871515,3.151161111500711,higher_in_non_responder
SNORD76,0.0,3.0856863429230343,3.0856863429230343,higher_in_non_responder
SNORD89,3.3606690415561236,0.3954030439864533,2.96526599756967,higher_in_responder
MFAP2,3.0856208444058932,6.047367767907251,2.961746923501358,higher_in_non_responder
MIR1282,0.0,2.8936940650267986,2.8936940650267986,higher_in_non_responder
MIR4444-1,0.0,2.8775768519294993,2.8775768519294993,higher_in_non_responder
MIR4484,0.0,2.8092444975193054,2.8092444975193054,higher_in_non_responder
LOC283352,3.590246186733454,1.0288138311874409,2.561432355546013,higher_in_responder
MIR5047,0.9600001440988725,3.4455895188129753,2.485589374714103,higher_in_non_responder
FBLN1,4.076628772416601,6.560056674164618,2.4834279017480165,higher_in_non_responder
SNORD44,2.4393270885180423,0.0,2.4393270885180423,higher_in_responder
SNORD38A,2.4049627856050204,0.0,2.4049627856050204,higher_in_responder
MMP1,1.5788488492638075,3.94479228942809,2.3659434401642825,higher_in_non_responder
SNORA48,1.9455795591987115,4.269238691065491,2.323659131866779,higher_in_non_responder
SNORA24,1.4922179037144605,3.7833980256238533,2.2911801219093926,higher_in_non_responder
MIR632,5.952800170804492e-10,2.2779228634608204,2.2779228628655406,higher_in_non_responder
OLIG1,3.0934761911793855,0.8775711153831969,2.2159050757961887,higher_in_responder
CRYAB,8.258029074853603,6.089208895993171,2.1688201788604315,higher_in_responder
SNORA10,1.664959842686973,3.755681313218755,2.090721470531782,higher_in_non_responder
FXYD3,5.157567808791882,3.088806986194736,2.0687608225971457,higher_in_responder
SNORA26,1.025417671008584,3.0331703955254485,2.0077527245168643,higher_in_non_responder
FABP7,3.9330635004829086,1.9403078662826114,1.9927556342002972,higher_in_responder
SNORD15B,2.273280913796645,4.251683161394873,1.9784022475982281,higher_in_non_responder
MIR6132,1.9712118805756063,0.0,1.9712118805756063,higher_in_responder
PLEKHB1,4.738615144498859,2.7702666583267828,1.9683484861720766,higher_in_responder
SFRP2,3.41644861401636,5.36579670643778,1.94934809242142,higher_in_non_responder
MXRA8,3.555965359698654,5.46861263009128,1.9126472703926258,higher_in_non_responder
FCRLA,4.364111500457658,2.4567789777819513,1.9073325226757065,higher_in_responder
SNORD97,1.9020237989786284,3.8014621399980766,1.8994383410194482,higher_in_non_responder
SNORD104,4.876743585296444,2.998321141293387,1.8784224440030566,higher_in_responder
COL6A2,6.601797783268976,8.460012390740816,1.8582146074718402,higher_in_non_responder
DKK3,2.4291245544797837,4.281611563323141,1.8524870088433572,higher_in_non_responder
PTGDS,4.829274026956008,6.679538529980403,1.8502645030243947,higher_in_non_responder
DSCR8,3.1852478921647926,1.3482622065169412,1.8369856856478515,higher_in_responder
MMP13,0.8593017771725557,2.693673212251239,1.834371435078683,higher_in_non_responder
MMP2,4.757652578527203,6.587849192587465,1.8301966140602621,higher_in_non_responder
HSPB2,4.880898082536424,3.054549411062442,1.826348671473982,higher_in_responder
INHBA,1.1524673721829022,2.9705431187656433,1.818075746582741,higher_in_non_responder
MIR658,0.8356626903739048,2.648675489298484,1.813012798924579,higher_in_non_responder
PRRX1,3.156807422526194,4.964814799110463,1.8080073765842686,higher_in_non_responder
SNORA68,1.3342032100765373,3.1394042814713345,1.8052010713947972,higher_in_non_responder
FBLN2,2.6555598809037577,4.446423973236853,1.7908640923330954,higher_in_non_responder
MIR3960,3.1346454613189922,1.3464718939340372,1.788173567384955,higher_in_responder
CEACAM1,4.620624448556431,2.846306855666293,1.7743175928901382,higher_in_responder
LINC00221,2.6925754151680765,0.9216438406199865,1.77093157454809,higher_in_responder
TMEM158,3.234603283658297,5.0016085961852434,1.7670053125269463,higher_in_non_responder
